Desa,Rata-rata Penghasilan,Persentase sumber listrik PLN,Persentase air bersih PDAM,Rata-rata Luas Bangunan Rumah (m2),Total seluruh luas lahan (Ha),Total seluruh produksi pertanian (ton),Total seluruh tangkapan ikan (Kg),Persentase petani membeli pupuk,Persentase petani membeli pestisida,Persentase petani menyewa alat pertanian,Total jumlah ternak,Persentase pembelian obat,Persentase balita sering diperiksa di Posyandu,Persentase terdapat anggota keluarga yang sering sakit,Persentase mendapat bantuan dari pemerintah
Merdeka,2662500.0,100.0,0.0,77.38333333333334,69.53,10.997,6.5,7.142857142857142,28.57142857142857,7.142857142857142,507.0,3.3333333333333335,100.0,56.666666666666664,40.0
Muruona,926829.268292683,100.0,100.0,69.6951219512195,58.825,108.675,50.0,4.3478260869565215,52.17391304347826,0.0,329.0,14.634146341463413,100.0,82.92682926829268,63.41463414634146
Nubamado,1073833.3333333333,90.0,100.0,47.8,31.857499999999998,798.477,0.0,0.0,30.76923076923077,0.0,193.0,16.666666666666664,100.0,56.666666666666664,46.666666666666664
Pada,1627419.3548387096,93.54838709677419,93.54838709677419,48.91935483870968,17.128,16.39,35.0,16.666666666666664,8.333333333333332,16.666666666666664,223.0,6.451612903225806,92.85714285714286,41.935483870967744,80.64516129032258
Paubokol,545000.0,100.0,0.0,42.8,274.724,21.43,0.0,4.761904761904762,38.095238095238095,0.0,113.0,10.0,100.0,70.0,80.0
Puor,2828333.3333333335,100.0,0.0,76.21666666666667,24.1635,13.509,0.0,12.5,0.0,18.75,222.0,13.333333333333334,100.0,30.0,76.66666666666667
Riangbao,1546666.6666666667,100.0,100.0,97.46666666666667,16.3482,1505.01,17.0,0.0,36.36363636363637,0.0,352.0,3.3333333333333335,87.5,26.666666666666668,80.0
Tagawiti,755000.0,100.0,0.0,85.0069,21.93,366.52,99.0,0.0,0.0,0.0,215.0,20.0,,23.333333333333332,50.0
Todanara,1153448.2758620689,100.0,0.0,630.5372413793103,25.419,1058.9666,5.0,5.0,50.0,10.0,20.0,17.24137931034483,84.61538461538461,44.827586206896555,72.41379310344827
Tubuk Rajan,1630000.0,96.66666666666667,100.0,23.395066666666665,7.22,10.07,0.0,0.0,0.0,0.0,53.0,13.333333333333334,,3.3333333333333335,3.3333333333333335
Tubungwalang,500000.0,96.66666666666667,0.0,78.56666666666666,740.0325,320.1561,0.0,68.42105263157895,26.31578947368421,5.263157894736842,218.0,36.666666666666664,100.0,30.0,73.33333333333333
Waienga,841666.6666666666,96.66666666666667,6.666666666666667,52.3,2515.4325,11.128,42.7,6.666666666666667,86.66666666666667,0.0,309.0,13.333333333333334,100.0,40.0,86.66666666666667
Watodiri,2887500.0,100.0,93.33333333333333,52.708333333333336,14.0775,211.7651,34.0,0.0,0.0,0.0,344.0,23.333333333333332,93.33333333333333,60.0,46.666666666666664
Wuakerong,1867600.0,100.0,96.66666666666667,151.73333333333332,38.0125,766.88,22.0,0.0,35.714285714285715,14.285714285714285,315.0,20.0,100.0,63.33333333333333,50.0
